Row,Size,Type,Style,Name,Handling,Speed,Acceleration,Body,Armor,Pilot,Sensor,Availability,Cost,Description,Source,StandardUpgrade
1,Micro,Walker,Quadruped,"Shiawase Kanmushi",4,2,1,0,0,3,3,8,"1,000¥","This is a four-legged “bug” crawler drone that is hard to tell from a natural insect at a glance. It’s ideal for penetrating confined areas, and its gecko-tipped extremities and light weight render it capable of crawling on walls and ceilings; it is, however, quite fragile, and merely being stepped on or a tag eraser can easily destroy it. This drone is operated with the Pilot Walker skill.",Core,
2,Micro,Hovercraft,Disc,"Silkorsky-Bell Microskimmer",3,3,1,0,0,3,3,6,"1,000¥","Quiet and durable, this disc-shaped skimmer is smaller than a frisbee and can even skim over water. It moves with small and rather weak hoverjets. It is easier to spot than the Kanmushi, but still very small. It is operated with the Pilot Groundcraft skill; the hovercraft specialization applies.",Core,
3,Micro,NULL,NULL,Goldfish,2/4,1W,1,0,0,2,2,6,500¥,"Sized to realistic proportions and capable of dives of up to four meters deep, the Renraku Goldfish is a prime example of an entry-level water drone, suitable as a trainer for youths who look toward a future as robotic operators or hobbyists who wish to explore local watering holes below the surface.",SR5:R5.0,Submersible
4,Micro,NULL,NULL,NoizQuito,4,3R,2,1,0,3,3,10R,"2,000¥","The NoizQuito was developed as a flying micro drone with a few special tricks. Visually similar to a mosquito, the body of the drone can only house a small number of features. The most prevalent and obvious of these features is the speaker system. The drone can blast sounds as loud as 160 decibels (which is the volume of high-end race cars), which are used to produce distractions and possibly even minor ear damage in those unfortunate enough to be near the drone when it activates. Additionally, the drone’s wings and body are covered in small LEDs that are powerful enough to produce blinding levels of light in a bewildering array of strobe patterns.",SR5:R5.0,"Flying, speakers, strobes"
5,Mini,Aircraft,Insectoid,"MCT Fly-Spy",4,3,2,1,0,3,3,8,"2,000¥","This Mitsuhama drone is the size and shape of a large insect but can achieve substantially better altitudes. It can serve in an “eye in the sky” role and is handy for shadowing people given the fact that it’s relatively hard to spot. This drone is operated with the Pilot Aircraft skill.",Core,
6,Mini,Aircraft,Sphere,"Horizon Flying Eye",4,3,2,1,0,3,3,8,"2,000¥","This spherical flying drone uses omnidirectional thrust nozzles to stay airborne. Just about eyeball-sized, it can roll itself on the ground, though it needs to fly to overcome obstructions like stairs and curbs. A version with a built-in flash-pak and smoke grenade costs 500¥ extra; detonating them destroys the drone. Use Pilot Aircraft to operate.",Core,
7,Mini,NULL,NULL,Condor,2,0R,0,1(1),0,2,4,6R,"4,000¥","Solar-powered and hydrogen-filled, the Condor is a long-duration observation drone constructed with transparent and radar-invisible materials, allowing it to hover in place for days, even weeks, rather than the hours that a conventional drone can manage. The trade-off, of course, is that the Condor is completely vulnerable if detected and unable to flee. While the Condor’s balloon is nearly as large as kitchen table when inflated, when deflated the entire unit is smaller than a bowling pin.",SR5:R5.0,
8,Mini,Aircraft,NULL,Dragonfly,4,2P,1,1(0),3,3,2,12R,"4,000¥","Perhaps the smallest drone-hunting drone in production today, the Dragonfly is designed to follow surveillance drones anywhere they hide and bring them down. A sleek quad-copter design with in-body rotors that are protected from collisions in tight corners, the Dragonfly comes pre-equipped with a chomping “beak” of blades, allowing it to shear through the wings or body of other mini-or-micro-drones, ripping them from the sky. Against larger drones, the Dragonfly can swarm, nipping away in small bites, but it isn’t designed to cut through any appreciable levels of armor plating.",SR5:R5.0,"Melee Bite (Acc 3, Reach —, Dam 3P, AP –2), Targeting (Melee) Auotsoft"
9,Mini,Groundcraft,NULL,Gerbil,4/2,2G,1,1(1),0,2,2,4,"2,000¥",,SR5:R5.0,
10,Mini,Groundcraft,NULL,Hedgehog,3,1G,1,1(0),0,4,3,8F,"8,000¥","A specialized sub-design of the Aztechnology Crawler, the Hedgehog is the leading security-sniffing drone on the market today. Intended to find opposition command, control, and communication broadcasts, it can listen in passively while running decrypting software. Parked in a hidden location, it can eavesdrop for up to forty-eight hours on a single charge, gathering data by the gigapulse.",SR5:R5.0,"Electronic Warfare (2) Autosoft,"
